Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Insurance,Actuarial analyst,This is salary with 2 exams passed. More exams means more $$$,63000,,USD,,,United States of America,"Arkansas, Iowa, Massachusetts, Ohio, Wyoming",Des Moines,1 year or less,1 year or less,Master's degree,Woman,Asian or Asian American
18-24,Computing or Tech,Machine Learning Engineer,,132000,10000,USD,,,United States of America,Massachusetts,Cambridge,2-4 years,2-4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
55-64,"Accounting, Banking & Finance",Full Charge Bookkeeper,,65000,2000,USD,,,United States of America,Virginia,Falls Church,31-40 years,11-20 years,College degree,Woman,White
25-34,Health care,Associate General Counsel,,235000,0,USD,,,United States of America,Virginia,Falls Church,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Insurance,Senior Global Benefits Consultant,,122000,10000,USD,,,United States of America,Missouri,Kansas,21-30 years,21-30 years,Some college,Woman,White
55-64,Health care,Director psychometrics,,142000,7000,USD,,,United States of America,Illinois,Chicago,21-30 years,11-20 years,PhD,Woman,White
35-44,Health care,Medical Technologist,Microbiology lab tech,80000,15000,USD,,,United States of America,Oregon,Eugene,21-30 years,11-20 years,College degree,Woman,White
25-34,Education (Higher Education),Study Coordinator,,57000,0,USD,,,United States of America,Alaska,Fairbanks,8-10 years,2-4 years,Master's degree,Non-binary,White
45-54,Health care,Consumer directed care attendant,,18500,0,USD,,,United States of America,Iowa,Mason,2-4 years,2-4 years,College degree,Woman,White
35-44,"Marketing, Advertising & PR",Supervisor of Account Management,I manage Account Managers,55000,25000,USD,,Salary plus commission,United States of America,Florida,Jacksonville,21-30 years,11-20 years,High School,Man,White
35-44,Insurance,Data Analyst,,98000,6000,USD,,,United States of America,Illinois,Bloomington,8-10 years,5-7 years,PhD,Man,White
45-54,Education (Higher Education),Program Coordinator,,44000,0,USD,,,United States of America,Arizona,Tucson,21-30 years,21-30 years,College degree,Woman,White
55-64,Property or Construction,Chief Financial Officer,Sole accountant for small commercial construction general contractor,62000,15000,USD,,,United States of America,Kentucky,Lexington,11-20 years,11-20 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Payroll Manager,,45760,,USD,,,United States of America,Arizona,Phx,5-7 years,2-4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Health care,Medical assistant,,40602,0,USD,,,United States of America,Rhode Island,Providence,11-20 years,11-20 years,College degree,Woman,White
35-44,Education (Higher Education),Senior project coordinator,,76000,0,USD,,,United States of America,Massachusetts,Cambridge,11-20 years,11-20 years,College degree,Woman,White
45-54,Library/Archive/Research Center,Manager of Special Collections,I oversee catalogers and archivists who make rare materials accessible for research.,85000,0,USD,,"Salary is on the higher end for the industry, but reflects LA's high cost of living.",United States of America,California,Los Angeles,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Retail,Cheesemonger,,39000,13000,USD,,,United States of America,Washington,Seattle,11-20 years,8-10 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Nuclear Engineer,,112000,0,USD,,,United States of America,Illinois,Lemont,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Defense,Contracts negotiator,,71000,2100,USD,,,United States of America,Florida,Orlando,5-7 years,2-4 years,College degree,Man,White
45-54,Computing or Tech,trade spend analyst,,52000,4000,USD,,,United States of America,Washington,Seattle,8-10 years,5-7 years,College degree,Woman,White
35-44,Education (Higher Education),Senior Dev,Primarily compliance reporting,74500,,USD,,,United States of America,Arizona,Phoenix,11-20 years,8-10 years,High School,Man,"Hispanic, Latino, or Spanish origin"
45-54,"Accounting, Banking & Finance",Accountant,,61000,0,USD,,,United States of America,Illinois,Decatur,31-40 years,8-10 years,College degree,Woman,White
55-64,Transport or Logistics,Truck Driver,,60000,35000,USD,,,United States of America,South Carolina,Mauldin,41 years or more,41 years or more,High School,Man,White
35-44,Computing or Tech,Sr Director Engineering,,230000,50000,USD,,,United States of America,California,Los Angeles,21-30 years,11-20 years,College degree,Man,White
35-44,Computing or Tech,Project Manager,,70500,,USD,,,United States of America,Minnesota,Minneapolis,21-30 years,11-20 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Organized Labor,Area Coordinator,I am a supervisor on a team that performs collective bargaining on behalf of public employees,103996,4800,USD,,,United States of America,California,Sacramento,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Computing or Tech,"Manager, Learning & Media","I manage a team of one instructional designer and 2 video & media creators. We handle internal staff training & e-learning creation, marketing video creation, product video tutorial creation",90000,,USD,,,United States of America,Illinois,Chicago,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Property or Construction,Assistant Project Manager,At a heavy civil construction company,85000,0,USD,,,United States of America,Massachusetts,Boston,8-10 years,8-10 years,College degree,Woman,White
35-44,Sales,Sales Representative,,65000,6500,USD,,,United States of America,Ohio,Cincinnati,11-20 years,1 year or less,Some college,Man,White
45-54,"Accounting, Banking & Finance",Business Support Consultant,,65300,2000,USD,,,United States of America,Minnesota,Minneapolis,21-30 years,21-30 years,College degree,Woman,White
35-44,Computing or Tech,Office and facilities manager,,61000,,USD,,,United States of America,Virginia,Charlottesville,11-20 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Business Analyst,IT consultant,120000,0,USD,,,United States of America,Tennessee,Nashville,8-10 years,5-7 years,Master's degree,Man,White
35-44,Health care,Patient Access Representative II,Admitting,38000,3000,USD,,,United States of America,Texas,Dallas,8-10 years,5-7 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Design Supervisor,Design Manager,75000,0,USD,,,United States of America,Michigan,Macomb,11-20 years,11-20 years,College degree,Man,White
45-54,Computing or Tech,Senior HR Generalist,,70000,5000,USD,,,United States of America,New York,New York,8-10 years,8-10 years,College degree,Woman,Asian or Asian American
25-34,Nonprofits,Quality Improvement Associate,Data Analysis and Evaluation,43000,0,USD,,,United States of America,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Principal Software Architect,,190000,,USD,,,United States of America,Washington,Seattle,11-20 years,11-20 years,College degree,Man,White
35-44,Computing or Tech,Technical Product Marketing Manager,,200000,,USD,,,United States of America,Washington,Seattle,11-20 years,11-20 years,College degree,Man,White
55-64,Media & Digital,art director,newspaper designer,130000,,USD,,,United States of America,District of Columbia,Washington,31-40 years,31-40 years,College degree,Woman,White
25-34,Utilities & Telecommunications,HR Manager,No direct reports,83200,,USD,,,United States of America,Indiana,Indianapolis,11-20 years,8-10 years,College degree,Woman,White
25-34,Nonprofits,Senior Regional Director,"My role is the highest of my region, but I work closely with the central office which helps with fundraising, and create initiatives for regions to implement.",68500,500,USD,,,United States of America,California,San Francisco,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, Another option not listed here or prefer not to answer"
45-54,Nonprofits,Finance Director,,50675,0,USD,,,United States of America,Virginia,Galax,21-30 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Helpdesk Level 1,,33280,1000,USD,,,United States of America,Utah,Ogden,5-7 years,1 year or less,Some college,Man,White
25-34,Government and Public Administration,Head of Adult Services,Public library,56394,,USD,,,United States of America,Michigan,Rochester,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Senior UX Designer,,140000,0,USD,,I'm a city government employee and took a pay cut after moving from the private sector,United States of America,California,San Francisco,11-20 years,8-10 years,Some college,Man,White
25-34,Health care,Administrative Associate,,55000,0,USD,,,United States of America,Minnesota,Minneapolis,11-20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,"Marketing, Advertising & PR",Client Services Director,,153000,7000,USD,,,United States of America,Georgia,Atlanta,21-30 years,21-30 years,College degree,Woman,White
45-54,Health care,Lead Talent Acquisition Partner,Most Sr Recruiter at the levels within the company's hierarchy,115000,17250,USD,,,United States of America,Washington,Seattle,21-30 years,21-30 years,College degree,Man,White
45-54,Government and Public Administration,Program Specialist,Government communications writer and editor,128000,0,USD,,,United States of America,District of Columbia,Washington,11-20 years,11-20 years,College degree,Woman,Black or African American
35-44,Education (Primary/Secondary),Assistant principal,,103000,0,USD,,,United States of America,New Jersey,Camden,11-20 years,11-20 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Computing or Tech,Software Engineer II,"""II"" indicates seniority/job ladder level",168000,127500,USD,,Approx. 85000 of extra income in the form of vesting shares of company stock,United States of America,California,Sunnyvale,8-10 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Senior Field Specialist,Technical SME for software/SAAS sales organization,215000,95000,USD,,"Split 35k bonus, 60k RSU vesting",United States of America,Texas,Austin,21-30 years,21-30 years,Some college,Man,White
18-24,Engineering or Manufacturing,Junior Mechanical Design Engineer,,90000,15000,USD,,,United States of America,California,Santa Clara,1 year or less,1 year or less,College degree,Woman,White
35-44,Utilities & Telecommunications,Sr Sourcing Specialist,Procurement,71000,7100,USD,,,United States of America,Kansas,Topeka,11-20 years,11-20 years,College degree,Woman,White
25-34,Libraries,Technical services librarian,,57985,360,USD,,,United States of America,Texas,Duncanville,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Nonprofits,Senior Program Coordinator,"I run the admin for all our events, classes, outreach & special projects.",62000,700,USD,,,United States of America,New York,New York,8-10 years,5-7 years,Master's degree,Non-binary,White
25-34,Engineering or Manufacturing,Production Engineer,,80000,,USD,,,United States of America,Massachusetts,Cambridge,2-4 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Government and Public Administration,Staff attorney,Staff attorney for a state government agency,83000,0,USD,,,United States of America,Minnesota,St. Paul,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Software Engineer Principal II,,212000,,USD,,,United States of America,California,San Francisco,8-10 years,8-10 years,College degree,Man,White
25-34,Agriculture or Forestry,Horse barn foreman,Lead Animal caretaker at horse breeding facility,30000,6000,USD,,Hourly with monthly housing stipend,United States of America,Kentucky,Lexington,5-7 years,5-7 years,College degree,Woman,White
35-44,Education (Higher Education),Registrar,,80000,,USD,,,United States of America,Washington,Eastern Washington,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Nonprofits,Business Analyst,focused on a technological platform,82000,0,USD,,,United States of America,District of Columbia,Washington,11-20 years,11-20 years,Some college,Woman,White
35-44,Computing or Tech,Senior UX Developer,Front-end web developer,101000,,USD,,,United States of America,Washington,Seattle,8-10 years,5-7 years,College degree,Man,White
25-34,Computing or Tech,ETL Administrator,,109200,0,USD,,,United States of America,Ohio,Columbus,11-20 years,11-20 years,College degree,Woman,White
35-44,Education (Higher Education),medical librarian,,75000,,USD,,,United States of America,Connecticut,Connecticut,11-20 years,5-7 years,Master's degree,Woman,White
25-34,libraries,Collection Development Librarian,I buy the books for the adult collection of the library!,46500,0,USD,,,United States of America,Indiana,New Albany,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Scientist,,105000,15000,USD,,,United States of America,California,Irvine,5-7 years,5-7 years,PhD,Woman,White
35-44,"Accounting, Banking & Finance",Accountant,,51000,0,USD,,,United States of America,North Carolina,Morrisville,21-30 years,11-20 years,College degree,Woman,White
25-34,Property or Construction,Building Code Consultant,"Work on building codes for projects (residential & commercial) nationwide, and permits for construction.",80000,3000,USD,,,United States of America,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Man,White
25-34,Engineering or Manufacturing,Administrative Assistant,,33280,,USD,,,United States of America,Maine,Portland,2-4 years,2-4 years,College degree,Woman,White
45-54,"Marketing, Advertising & PR",Project Manager,I’m a marketing person at a flagship public university,62000,0,USD,,,United States of America,Wisconsin,Madison,11-20 years,2-4 years,PhD,Woman,White
25-34,Computing or Tech,Senior Quality Assurance Analyst,"Software, manual",81000,8000,USD,,,United States of America,Vermont,Burlington,8-10 years,5-7 years,College degree,Woman,White
25-34,Business or Consulting,Associate Consultant,,84000,,USD,,,United States of America,New York,New York,2-4 years,2-4 years,Master's degree,Woman,Black or African American
35-44,Social Work,Therapist,"Private practice, counseling children and adolescents",49000,0,USD,,Varies based on client hours,United States of America,Illinois,Chicago,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Business or Consulting,Program Analyst,Government contractor,83000,0,USD,,,United States of America,District of Columbia,DC,8-10 years,5-7 years,College degree,Woman,White
45-54,Engineering or Manufacturing,Software Engineer,Aerospace and Defense Electronics,165000,20000,USD,,PTO paid out as bonus,United States of America,Virginia,Northern Va,21-30 years,11-20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Pharma/biotech,Publications Associate Director,,175000,20000,USD,,,United States of America,Massachusetts,Boston,8-10 years,5-7 years,PhD,Woman,White
25-34,"Accounting, Banking & Finance",Portfolio Oversight Analyst,Overseas a reverse mortgage portfolio,74825,7015,USD,,,United States of America,Washington,Seattle,11-20 years,8-10 years,College degree,Man,White
65 or over,Nonprofits,Executive Director,,121000,0,USD,,,United States of America,California,San Rafael,41 years or more,41 years or more,Some college,Man,White
35-44,Health care,Specimen Processing Trainer,,53000,10000,USD,,,United States of America,Georgia,Atlanta,8-10 years,5-7 years,Some college,Man,White
25-34,Recruitment or HR,"Assistant Team Lead, HR Operations",,70000,4000,USD,,My salary is not based on a 40 hour work week. My company requires employees to work either 42.5 or 45 hours depending on the position.,United States of America,Virginia,Mclean,2-4 years,2-4 years,College degree,Woman,White
25-34,Health care,Program Manager,"I manage a specialized healthcare service, which serves over 3,000 patients annually, at a major academic center",74803,0,USD,,,United States of America,North Carolina,Durham,5-7 years,5-7 years,Master's degree,Woman,White
18-24,Engineering or Manufacturing,Senior Technician,Microbiology at a pharmaceuticals contract research organization,52000,6000,USD,,,United States of America,Pennsylvania,Malvern,2-4 years,2-4 years,College degree,Woman,White
25-34,Computing or Tech,Application Developer,,65000,9750,USD,,,United States of America,New Hampshire,Portsmouth,5-7 years,2-4 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Metallurgical Engineer,,60000,,USD,,,United States of America,New York,Schenectady,11-20 years,8-10 years,College degree,Man,White
25-34,Computing or Tech,Senior Security Engineer,,450000,,USD,,2/3 of pay is stock RSus,United States of America,Virginia,Herndon,11-20 years,11-20 years,Master's degree,Man,White
25-34,Recruitment or HR,HR Assistant,,29000,,USD,,,United States of America,Pennsylvania,Wilkes Barre,2-4 years,2-4 years,Some college,Woman,White
25-34,Media & Digital,Production Editor,Scientific Journal Publishing,56000,0,USD,,,United States of America,Massachusetts,Cambridge,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Government and Public Administration,Architectural Drafting Technician II,I design Bridges,64215,0,USD,,,United States of America,Minnesota,Saint Paul,11-20 years,11-20 years,Some college,Woman,White
25-34,Computing or Tech,Data engineer,,140000,10000,USD,,,United States of America,Pennsylvania,Pittsburgh,8-10 years,5-7 years,Master's degree,Man,White
25-34,Law,Law clerk,,106000,,USD,,,United States of America,New York,New York,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Health care,Data Entry Associate,,34000,2000,USD,,,United States of America,California,Oakland,5-7 years,1 year or less,Some college,Woman,White
35-44,"Accounting, Banking & Finance",Administrative Assistant,,45000,0,USD,,,United States of America,Wisconsin,Madison,8-10 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,director level,,80000,,USD,,,United States of America,California,Sacramento,11-20 years,5-7 years,PhD,Woman,Middle Eastern or Northern African
65 or over,Insurance,Compliance specialist,,108000,0,USD,,,United States of America,Pennsylvania,King Of Prussia,31-40 years,31-40 years,Some college,Woman,White
35-44,"Accounting, Banking & Finance",Corporate Banker,,240000,100000,USD,,,United States of America,California,San Francisco,11-20 years,11-20 years,Master's degree,Woman,Black or African American
25-34,Social Work,Provider Network Auditor,Essentially I review compliance for the providers who contract with a local Community Mental Health organization.,58000,700,USD,,,United States of America,Michigan,Saginaw,8-10 years,5-7 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Materials Engineer,,85000,14000,USD,,,United States of America,Minnesota,Bemidji,8-10 years,2-4 years,College degree,Woman,White
25-34,Transport or Logistics,Document Control,Paperwork processing,38000,,USD,,,United States of America,Virginia,Dulles,8-10 years,5-7 years,College degree,Woman,White
18-24,Nonprofits,Alumni Development Specialist,,35100,,USD,,,United States of America,Indiana,Indianapolis,2-4 years,2-4 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Accountant,,52000,2500,USD,,,United States of America,Florida,Miami,5-7 years,5-7 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Office Manager,,55467,2500,USD,,,United States of America,Pennsylvania,Horsham,11-20 years,8-10 years,High School,Woman,"Hispanic, Latino, or Spanish origin, White"
45-54,Nonprofits,Animal Curator,,50000,0,USD,,,United States of America,Texas,Fort Worth,21-30 years,21-30 years,College degree,Woman,White
25-34,Social Work,Account Manager,,58500,,USD,,,United States of America,Washington,Seattle,11-20 years,5-7 years,Some college,Woman,White
35-44,Computing or Tech,Senior Director,,280000,100000,USD,,estimated equity+bonus,United States of America,Massachusetts,Cambridge,11-20 years,11-20 years,College degree,Woman,White
35-44,Nonprofits,Director of Home Based Services,I am a program director with management and directing duties,64500,0,USD,,,United States of America,Minnesota,Minneapolis,8-10 years,8-10 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Senior Financial Analyst,,75000,6000,USD,,,United States of America,Minnesota,Minneapolis,5-7 years,2-4 years,College degree,Woman,White
35-44,Computing or Tech,Senior Product Manager,,150000,75000,USD,,,United States of America,Washington,Seattle,11-20 years,5-7 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
35-44,Computing or Tech,Software Developer,,200000,40000,USD,,,United States of America,California,San Francisco,11-20 years,2-4 years,Master's degree,Woman,Asian or Asian American
35-44,Computing or Tech,Software Developer,,225000,60000,USD,,,United States of America,Illinois,Chicago,11-20 years,11-20 years,College degree,Man,White
45-54,Computing or Tech,Data Migration Consultant,,90000,5000,USD,,,United States of America,Washington,Seattle,21-30 years,21-30 years,College degree,Woman,White
35-44,Real Estate,Manager of Market Research,,135000,25000,USD,,,United States of America,Georgia,Atlanta,11-20 years,5-7 years,Master's degree,Man,White
45-54,Law,Pro Bono Director,Access to justice work for a state bar association,65000,0,USD,,,United States of America,Alaska,Anchorage,11-20 years,11-20 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Manufacturing Engineer Manager,,77000,500,USD,,,United States of America,Massachusetts,Torrington,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Nonprofits,Operations Coordinator,,60000,0,USD,,,United States of America,Massachusetts,Boston,8-10 years,8-10 years,Some college,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
55-64,Media & Digital,Digital content producer,,54000,0,USD,,,United States of America,Connecticut,Hartford,31-40 years,31-40 years,Master's degree,Man,White
25-34,Engineering or Manufacturing,Project Engineer,Research and development,92000,1500,USD,,,United States of America,Washington,Hamilton,5-7 years,2-4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Government and Public Administration,Research Scientist,,78832,,USD,,,United States of America,Wisconsin,Madison,5-7 years,5-7 years,Master's degree,Man,White
25-34,"Accounting, Banking & Finance",Manager,,102000,20000,USD,,,United States of America,California,Los Angeles,11-20 years,8-10 years,Master's degree,Woman,White
35-44,Computing or Tech,Senior Software Engineer,,150000,15000,USD,,,United States of America,Oregon,Portland,11-20 years,11-20 years,College degree,Man,White
25-34,Hospitality & Events,Operations Analyst,,50000,0,USD,,,United States of America,Nebraska,Omaha,11-20 years,5-7 years,College degree,Woman,White
25-34,Education (Higher Education),Circulation Supervisor,I supervise library work study students and run the front desk operations day to day. My institution is a private liberal arts college.,18000,0,USD,,"Obviously I also work a part-time job (public libraries, a degreed position, which pays $25 an hour)",United States of America,New York,Albany,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Computing or Tech,IT Manager,,130000,20000,USD,,,United States of America,New Jersey,Somerset,11-20 years,11-20 years,College degree,Man,White
45-54,Manufacturing,Office Manager,,38000,1000,USD,,,United States of America,Kansas,Wichita,21-30 years,21-30 years,Some college,Woman,Native American or Alaska Native
18-24,Media & Digital,Content Strategy Associate,,54000,,USD,,,United States of America,District of Columbia,Washington,2-4 years,2-4 years,College degree,Woman,White
25-34,Business or Consulting,Management Consultant,,93200,5000,USD,,,United States of America,Virginia,Arlington,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Business or Consulting,Senior Consultant,,80000,,USD,,,United States of America,District of Columbia,Washington,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Media & Digital,Senior Editor,,85000,6000,USD,,,United States of America,Massachusetts,Boston,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Archives/Library Science,Archivist,,52500,,USD,,,United States of America,Maryland,Rockville,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Game Development,Senior Producer,We're hybrid project manager / product owners,110000,5000,USD,,,United States of America,California,Los Angeles,11-20 years,5-7 years,Master's degree,Woman,White
35-44,Repair facility for heavy duty trucks,Assistant Service Manager,,65000,,USD,,,United States of America,Connecticut,Nope,11-20 years,11-20 years,High School,Other or prefer not to answer,White
25-34,Business or Consulting,Short Term Consultant,,91000,,USD,,,United States of America,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Man,White
25-34,Government and Public Administration,Director of Research and Evaluation,for a state government agency,97000,,USD,,,United States of America,Maine,Augusta,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Government and Public Administration,Communications Coordinator / Deputy Public Information Officer,,99000,,USD,,,United States of America,Oregon,Portland,11-20 years,5-7 years,College degree,Woman,White
45-54,Health care,MRI Technologist,,80000,,USD,,,United States of America,Arizona,Gilbert,21-30 years,11-20 years,College degree,Woman,White
35-44,Nonprofits,Grants & Resource Specialist,(I'm basically a grantwriter who does some miscellaneous fundraising admin/support),39520,,USD,,,United States of America,Washington,Lakewood,11-20 years,5-7 years,College degree,Woman,White
25-34,Research - Public Health,Program Manager,,76000,5000,USD,,,United States of America,California,San Francisco,2-4 years,2-4 years,Master's degree,Woman,Asian or Asian American
25-34,Business or Consulting,Manager,,160000,50000,USD,,,United States of America,Washington,Seattle,2-4 years,2-4 years,Master's degree,Man,White
25-34,Engineering or Manufacturing,Senior Manager Quality Assurance,,120000,20000,USD,,,United States of America,North Carolina,Raleigh,8-10 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Engineering Manager,,173500,15000,USD,,,United States of America,California,Oakland,8-10 years,8-10 years,Master's degree,Woman,Asian or Asian American
25-34,Computing or Tech,Software Engineer,,100000,,USD,,,United States of America,Virginia,Vienna,8-10 years,2-4 years,College degree,Woman,White
35-44,Computing or Tech,End user Support 2,Higher Ed,52124,0,USD,,,United States of America,Minnesota,Duluth,5-7 years,5-7 years,Some college,Man,White
35-44,Law,Prosecutor,State Agency - Government,85000,0,USD,,,United States of America,Texas,Austin,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Nonprofits,Designer,@ a museum,59000,0,USD,,,United States of America,New York,New York,11-20 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,Systems Administrator,,101000,60000,USD,,,United States of America,Massachusetts,Waltham,8-10 years,8-10 years,College degree,Woman,White
35-44,Education (Higher Education),Assistant Professor,,65000,15000,USD,,,United States of America,Illinois,Chicago,5-7 years,5-7 years,PhD,Woman,Another option not listed here or prefer not to answer
25-34,Government and Public Administration,Assistant Director,Librarian,56550,,USD,,,United States of America,Iowa,Dubuque,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Government and Public Administration,Education & Training Coordinator,,117000,0,USD,,,United States of America,Maryland,Linthicum,11-20 years,11-20 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Maintenance technician,Food production maintenance technician,46000,2000,USD,,,United States of America,Pennsylvania,Pittsburgh,11-20 years,2-4 years,Some college,Woman,White
55-64,Education (Higher Education),Grant Manager,,81000,,USD,,,United States of America,Washington,Seattle,21-30 years,11-20 years,College degree,Man,White
35-44,Education (Higher Education),Librarian,I manage a unit and work with technology.,70200,,USD,,,United States of America,New Hampshire,Hanover,11-20 years,11-20 years,Master's degree,Woman,White
45-54,"Marketing, Advertising & PR",Senior web developer,,115000,,USD,,,United States of America,Illinois,Chicago,21-30 years,11-20 years,College degree,Man,White
25-34,Government and Public Administration,Program Manager,,47000,0,USD,,,United States of America,Maryland,Baltimore,2-4 years,2-4 years,College degree,Woman,Black or African American
18-24,Entertainment,Student,Finishing up my senior year in college. Plan on going into the film industry afterwards.,36400,,USD,,Allowance and stipend from family,United States of America,Connecticut,Hartford County,2-4 years,2-4 years,College degree,Man,White
35-44,Business or Consulting,IT consultant,SharePoint expert,90000,,USD,,,United States of America,Wisconsin,Appleton,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,Adoptions Client Care Supervisor,client care supervisor in adoptions team in animal welfare nonprofit (shelter),50419,,USD,,,United States of America,California,San Francisco,8-10 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Property or Construction,Project Services Manager,"manage cost, sourcing, materials, billing, customer service",70000,15000,USD,,,United States of America,Texas,Fort Worth,11-20 years,2-4 years,Some college,Woman,White
35-44,Computing or Tech,Vendor Manager,,125000,25000,USD,,,United States of America,New Jersey,Ridgefield Park,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Education (Higher Education),Assistant Professor,10-month contract,56000,8000,USD,,,United States of America,Wisconsin,Milwaukee,2-4 years,5-7 years,PhD,Woman,White
35-44,Education (Higher Education),Grants Analyst,,52000,0,USD,,,United States of America,California,Chico,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Law,Workflow Coordinator,"My employer provides 3rd party legal document support to law firms (formatting, converting, typing hand written notes or edits, transcription) - I field incoming client requests and negotiate deadlines to manage our workload, and also help tackle said workload.",40560,0,USD,,,United States of America,North Dakota,Fargo,11-20 years,2-4 years,Some college,Non-binary,White
25-34,Education (Higher Education),Admissions Representative,,35500,,USD,,,United States of America,Ohio,Medina,2-4 years,2-4 years,College degree,Woman,White
25-34,Law,Law Clerk,,92091,0,USD,,,United States of America,District of Columbia,Washington,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin, White"
18-24,Education (Higher Education),Graduate Student,Specializing in immunology,41050,0,USD,,"As a grad student at NIH, my salary is directly determined by a standard formula accounting for initial amount of experience + # of years worked (no negotiation, and annual pre-set raises). Table can be found here: https://www.training.nih.gov/predoctoral_irta_stipend_levels It’s also an appointment explicitly designed to end w/in 5 years and result in a terminal degree (PhD).",United States of America,Maryland,Bethesda,2-4 years,2-4 years,College degree,Woman,White
25-34,Art & Design,Senior Art Director,,64000,,USD,,,United States of America,"Kansas, Missouri",Kansas,5-7 years,2-4 years,College degree,Man,White
25-34,Politics/campaigns,Finance Director,"I work for a statewide campaign, so I am considered a high-middle manager, this position would be closer to entry-level for a local or Congressional campaign with fewer junior staffers",72000,15000,USD,,"Additional income is bonuses conditioned on a win (""win bonus"")",United States of America,Georgia,Atlanta,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Media & Digital,Web Content Administrator,,83000,,USD,,,United States of America,District of Columbia,DC,11-20 years,11-20 years,College degree,Woman,White
35-44,Education (Higher Education),Associate Director of Advancement,,75000,0,USD,,,United States of America,Illinois,Chicago,11-20 years,5-7 years,College degree,Woman,White
25-34,Utilities & Telecommunications,Electrical systems engineer,,82275,4113,USD,,,United States of America,Tennessee,Chattanooga,2-4 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Media & Digital,Reporter,,60000,0,USD,,,United States of America,District of Columbia,DC,5-7 years,5-7 years,College degree,Woman,White
